min_lat,max_lat,min_lon,max_lon,species_count,obs_count,interpolated,top_species_json
31.33,31.35,-114.82,-114.796667,0.0,0,False,[]
31.33,31.35,-114.796667,-114.773333,0.0,0,False,[]
31.33,31.35,-114.773333,-114.75,0.0,0,False,[]
31.33,31.35,-114.75,-114.726667,0.0,0,False,[]
31.33,31.35,-114.726667,-114.703333,0.0,0,False,[]
31.33,31.35,-114.703333,-114.68,0.0,0,False,[]
31.33,31.35,-114.68,-114.656667,0.0,0,False,[]
31.33,31.35,-114.656667,-114.633333,0.0,0,False,[]
31.33,31.35,-114.633333,-114.61,0.0,0,False,[]
31.33,31.35,-114.61,-114.586667,0.0,0,False,[]
31.33,31.35,-114.586667,-114.563333,0.0,0,False,[]
31.33,31.35,-114.563333,-114.54,0.0,0,False,[]
31.33,31.35,-114.54,-114.516667,0.0,0,False,[]
31.33,31.35,-114.516667,-114.493333,0.0,0,False,[]
31.33,31.35,-114.493333,-114.47,0.0,0,False,[]
31.33,31.35,-114.47,-114.446667,0.0,0,False,[]
31.33,31.35,-114.446667,-114.423333,0.0,0,False,[]
31.33,31.35,-114.423333,-114.4,0.0,0,False,[]
31.33,31.35,-114.4,-114.376667,0.0,0,False,[]
31.33,31.35,-114.376667,-114.353333,0.0,0,False,[]
31.33,31.35,-114.353333,-114.33,0.0,0,False,[]
31.33,31.35,-114.33,-114.306667,0.0,0,False,[]
31.33,31.35,-114.306667,-114.283333,0.0,0,False,[]
31.33,31.35,-114.283333,-114.26,0.0,0,False,[]
31.33,31.35,-114.26,-114.236667,0.0,0,False,[]
31.33,31.35,-114.236667,-114.213333,0.0,0,False,[]
31.33,31.35,-114.213333,-114.19,0.0,0,False,[]
31.33,31.35,-114.19,-114.166667,0.0,0,False,[]
31.33,31.35,-114.166667,-114.143333,0.0,0,False,[]
31.33,31.35,-114.143333,-114.12,0.0,0,False,[]
31.33,31.35,-114.12,-114.096667,0.0,0,False,[]
31.33,31.35,-114.096667,-114.073333,0.0,0,False,[]
31.33,31.35,-114.073333,-114.05,0.0,0,False,[]
